issue_id,title_ru,issue_date,issue_no,cumulative_no,pages,municipalities,source_url
104,Запорожский вестник,2025-09-18,38,139,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv38aa.pdf
106,Запорожский вестник,2025-09-25,39,140,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv39a_2025.pdf
110,Запорожский вестник,2025-10-02,40,141,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv40a_2025.pdf
111,Запорожский вестник,2025-10-09,41,142,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv41a_2025.pdf
112,Запорожский вестник,2025-10-16,42,143,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv42a_2025.pdf
115,Запорожский вестник,2025-10-23,43,144,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv43a_2025.pdf
116,Запорожский вестник,2025-10-30,44,145,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv44a_2025.pdf
118,Запорожский вестник,2025-11-06,45,146,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv45a_2025.pdf
120,Запорожский вестник,2025-11-13,46,147,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv46a_2025.pdf
122,Запорожский вестник,2025-11-20,47,148,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv47a_2025.pdf
124,Запорожский вестник,2025-11-27,48,149,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv48a_2025.pdf
126,Запорожский вестник,2025-12-04,49,150,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv49a_2025.pdf
130,Запорожский вестник,2025-12-11,50,151,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv50a_2025.pdf
132,Запорожский вестник,2025-12-18,51,152,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv51a_2025.pdf
134,Запорожский вестник,2025-12-25,52,153,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv52a_2025.pdf
52,Запорожский вестник,2026-01-15,1-2,154-155,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv1-2a_2026.pdf
108,Запорожский вестник,2026-01-22,3,156,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv3a_2026.pdf
128,Запорожский вестник,2026-01-29,4,157,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv4a_2026.pdf
136,Запорожский вестник,2026-02-05,5,158,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/zv5a_2026.pdf
