id,title_ru,title_translit,url_slug,archive_url,town_uk,coverage,holding,type,format,registration,registered,periodicity,archive_from,archive_to,notes,confidence,source
ZP-001,Запорожский вестник,Zaporozhskiy vestnik,zaporozhskij-vestnik,https://za-media.ru/zaporozhskij-vestnik/,Melitopol,Oblast-wide,ZaMedia,Regional flagship,A3 colour,ПИ № ТУ 23-01924,2023-04-27,Weekly,2024-03-05,2026-07-15,"Editorial address Melitopol, pr. Bohdana Khmelnytskoho 70. Paper began July 2022 but the public archive starts March 2024, so roughly the first 58 issues are not online",High,za-media.ru masthead page
ZP-002,Запорожская правда,Zaporozhskaya pravda,zaporozhskaya-pravda,https://za-media.ru/zaporozhskaya-pravda/,Melitopol,Per-municipality editions,ZaMedia,Official gazette,A3 black and white,ПИ № ТУ 23-01922,2023-04-27,Roughly monthly,2024-02-01,2025-02-05,Official publication source for municipal normative legal acts. Issued as SEPARATE PER-MUNICIPALITY EDITIONS - see municipalities.csv. Online archive appears to stop Feb 2025,High,za-media.ru masthead page
