issue_id,title_ru,title_translit,town_uk,raion_or_area,holding,issue_date,pages,source_url
735,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-12-12,20,https://luganmedia.ru/wp-content/uploads/2024/12/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9649-79-1.pdf
737,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-12-19,20,https://luganmedia.ru/wp-content/uploads/2024/12/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9650-80.pdf
738,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-12-26,20,https://luganmedia.ru/wp-content/uploads/2025/01/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9651-81.pdf
713,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-01-16,20,https://luganmedia.ru/wp-content/uploads/2025/01/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%961-82.pdf
717,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-01-23,20,https://luganmedia.ru/wp-content/uploads/2025/03/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%962-83.pdf
718,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-01-30,20,https://luganmedia.ru/wp-content/uploads/2025/03/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%963-84.pdf
726,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-02-06,20,https://luganmedia.ru/wp-content/uploads/2025/03/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%964-85.pdf
736,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-02-13,20,https://luganmedia.ru/wp-content/uploads/2025/03/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%965-86.pdf
739,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-02-20,20,https://luganmedia.ru/wp-content/uploads/2025/03/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%966.pdf
740,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-02-27,20,https://luganmedia.ru/wp-content/uploads/2025/03/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%967-88.pdf
741,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-03-06,20,https://luganmedia.ru/wp-content/uploads/2025/03/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%968-89.pdf
742,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-03-13,20,https://luganmedia.ru/wp-content/uploads/2025/04/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%969-90.pdf
714,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-03-20,20,https://luganmedia.ru/wp-content/uploads/2025/04/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9610-91.pdf
715,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-03-27,20,https://luganmedia.ru/wp-content/uploads/2025/04/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9611-92.pdf
716,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2025-04-03,20,https://luganmedia.ru/wp-content/uploads/2025/04/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9612-93.pdf
494,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-01-12,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-1.pdf
505,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-01-19,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-2.pdf
516,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-01-26,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-3.pdf
525,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-02-02,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-4.pdf
528,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-02-09,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-5.pdf
529,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-02-16,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-6.pdf
530,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-02-20,11,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-7.pdf
531,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-03-01,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-8.pdf
532,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-03-05,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-9.pdf
495,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-03-14,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-10.pdf
496,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-03-22,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-11.pdf
497,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-03-29,16,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-12.pdf
498,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-04-05,16,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-13.pdf
499,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-04-12,16,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-14.pdf
500,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-04-19,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-15.pdf
501,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-04-26,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-16.pdf
502,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-05-03,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-17.pdf
503,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-05-07,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-18.pdf
504,Огни,Ogni,Alchevsk,Alchevsk,Luganmedia,2024-05-17,15,https://luganmedia.ru/wp-content/uploads/2024/09/%D0%9E%D0%93%D0%9D%D0%98-19.pdf
